"Year","Municipality","Offence group and specifier for criminal act","Offences known to the authorities (number)"
"2020","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",33614
"2020","WHOLE COUNTRY","1117 Aggravated fraud 36:2",2091
"2020","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",7317
"2020","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",187
"2021","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",36313
"2021","WHOLE COUNTRY","1117 Aggravated fraud 36:2",2041
"2021","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",6277
"2021","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",262
"2022","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",37914
"2022","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1951
"2022","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",10916
"2022","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",484
"2023","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",42177
"2023","WHOLE COUNTRY","1117 Aggravated fraud 36:2",2169
"2023","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",14256
"2023","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",526
"2024","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",40140
"2024","WHOLE COUNTRY","1117 Aggravated fraud 36:2",3188
"2024","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",20662
"2024","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",1313
"2025","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",34468
"2025","WHOLE COUNTRY","1117 Aggravated fraud 36:2",3286
"2025","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",18909
"2025","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",622
